Nome,Ano,Óbitos
Fortaleza do Tabocão,2010,2.0
Fortaleza dos Nogueiras,2010,
Fortaleza,2010,610.0
Cruzeiro da Fortaleza,2010,1.0
Fortaleza de Minas,2010,2.0
Fortaleza dos Valos,2010,
Fortaleza do Tabocão,2011,3.0
Fortaleza dos Nogueiras,2011,
Fortaleza,2011,648.0
Cruzeiro da Fortaleza,2011,4.0
Fortaleza de Minas,2011,1.0
Fortaleza dos Valos,2011,
Fortaleza do Tabocão,2012,4.0
Fortaleza dos Nogueiras,2012,2.0
Fortaleza,2012,679.0
Cruzeiro da Fortaleza,2012,1.0
Fortaleza de Minas,2012,
Fortaleza dos Valos,2012,
Fortaleza do Tabocão,2013,
Fortaleza dos Nogueiras,2013,10.0
Fortaleza,2013,668.0
Cruzeiro da Fortaleza,2013,2.0
Fortaleza de Minas,2013,1.0
Fortaleza dos Valos,2013,
Fortaleza do Tabocão,2014,3.0
Fortaleza dos Nogueiras,2014,7.0
Fortaleza,2014,749.0
Cruzeiro da Fortaleza,2014,1.0
Fortaleza de Minas,2014,
Fortaleza dos Valos,2014,
Fortaleza do Tabocão,2015,4.0
Fortaleza dos Nogueiras,2015,3.0
Fortaleza,2015,620.0
Cruzeiro da Fortaleza,2015,1.0
Fortaleza de Minas,2015,
Fortaleza dos Valos,2015,
Fortaleza do Tabocão,2016,
Fortaleza dos Nogueiras,2016,2.0
Fortaleza,2016,543.0
Cruzeiro da Fortaleza,2016,
Fortaleza de Minas,2016,2.0
Fortaleza dos Valos,2016,
Fortaleza do Tabocão,2017,
Fortaleza dos Nogueiras,2017,6.0
Fortaleza,2017,477.0
Cruzeiro da Fortaleza,2017,1.0
Fortaleza de Minas,2017,
Fortaleza dos Valos,2017,
Fortaleza do Tabocão,2018,5.0
Fortaleza dos Nogueiras,2018,6.0
Fortaleza,2018,428.0
Cruzeiro da Fortaleza,2018,5.0
Fortaleza de Minas,2018,
Fortaleza dos Valos,2018,1.0
Fortaleza do Tabocão,2019,
Fortaleza dos Nogueiras,2019,6.0
Fortaleza,2019,268.0
Cruzeiro da Fortaleza,2019,2.0
Fortaleza de Minas,2019,1.0
Fortaleza dos Valos,2019,
